08:25,07:54,06:57,06:42,05:34,04:47,04:44,05:24,06:18,07:10,07:08,08:02
08:25,07:52,06:55,06:40,05:32,04:46,04:45,05:26,06:20,07:12,07:10,08:03
08:24,07:51,06:52,06:38,05:30,04:45,04:46,05:28,06:21,07:14,07:11,08:05
08:24,07:49,06:50,06:35,05:28,04:44,04:47,05:29,06:23,07:16,07:13,08:06
08:24,07:47,06:48,06:33,05:27,04:44,04:48,05:31,06:25,07:17,07:15,08:07
08:23,07:45,06:45,06:30,05:25,04:43,04:49,05:33,06:27,07:19,07:17,08:09
08:23,07:43,06:43,06:28,05:23,04:42,04:50,05:34,06:28,07:21,07:19,08:10
08:22,07:41,06:40,06:26,05:21,04:42,04:51,05:36,06:30,07:23,07:21,08:11
08:22,07:40,06:38,06:23,05:19,04:41,04:52,05:38,06:32,07:25,07:23,08:12
08:21,07:38,06:36,06:21,05:17,04:41,04:53,05:40,06:33,07:26,07:25,08:14
08:20,07:36,06:33,06:19,05:15,04:40,04:54,05:41,06:35,07:28,07:27,08:15
08:19,07:34,06:31,06:16,05:14,04:40,04:55,05:43,06:37,07:30,07:29,08:16
08:19,07:32,06:29,06:14,05:12,04:40,04:56,05:45,06:39,07:32,07:31,08:17
08:18,07:30,06:26,06:12,05:10,04:40,04:58,05:46,06:40,07:34,07:32,08:18
08:17,07:28,06:24,06:09,05:09,04:39,04:59,05:48,06:42,07:36,07:34,08:19
08:16,07:25,06:21,06:07,05:07,04:39,05:00,05:50,06:44,07:37,07:36,08:19
08:15,07:23,06:19,06:05,05:05,04:39,05:01,05:52,06:46,07:39,07:38,08:20
08:14,07:21,06:16,06:03,05:04,04:39,05:03,05:53,06:47,07:41,07:40,08:21
08:13,07:19,06:14,06:00,05:02,04:39,05:04,05:55,06:49,07:43,07:42,08:22
08:11,07:17,06:12,05:58,05:01,04:39,05:06,05:57,06:51,07:45,07:43,08:22
08:10,07:15,06:09,05:56,05:00,04:40,05:07,05:59,06:53,07:47,07:45,08:23
08:09,07:13,06:07,05:54,04:58,04:40,05:09,06:00,06:54,07:49,07:47,08:23
08:08,07:10,06:04,05:51,04:57,04:40,05:10,06:02,06:56,07:51,07:49,08:24
08:06,07:08,06:02,05:49,04:55,04:40,05:12,06:04,06:58,07:52,07:50,08:24
08:05,07:06,05:59,05:47,04:54,04:41,05:13,06:06,07:00,07:54,07:52,08:24
08:03,07:04,05:57,05:45,04:53,04:41,05:15,06:07,07:01,07:56,07:54,08:25
08:02,07:01,06:55,05:43,04:52,04:42,05:16,06:09,07:03,07:58,07:55,08:25
08:00,06:59,06:52,05:41,04:51,04:42,05:18,06:11,07:05,08:00,07:57,08:25
07:59,NaN,06:50,05:39,04:50,04:43,05:19,06:13,07:07,08:02,07:59,08:25
07:57,NaN,06:47,05:37,04:49,04:44,05:21,06:14,07:08,07:04,08:00,08:25
07:56,NaN,06:45,NaN,04:48,NaN,05:23,06:16,NaN,07:06,NaN,08:25
